Jogo,Ganhador,Historico
0,0,5259078464861896704
0,0,7636979068113780736
0,0,5835539217232691200
0,0,7925209444333649920
0,0,9582534107340210176
0,0,11960434719181766656
0,0,13617761581077364736
0,0,13978190288755359744
0,0,11600571160480448512
0,0,9943247597119733760
1,0,5259078464861896704
1,0,7636979068113780736
1,0,5547308841080979456
1,0,7348748692029702144
1,0,6988460721873616896
1,0,8789900572838592512
1,0,6700230346812424192
1,0,9078130950072434688
1,0,11311916367395684352
1,0,9366361878127443968
1,0,9582534664536195072
1,0,11960435276377751552
1,0,13905992514425061376
1,0,13690101207287988224
1,0,11600571717676433408
1,0,13402012668136259584
1,0,11024182433628815360
1,0,10808009926392938496
1,0,13041795479007657984
1,0,12825657881265963008
1,0,10447774870200385536
1,0,12249214789868060672
2,0,5259078464861896704
2,0,3313523425838104576
2,0,4970848088710449152
2,0,7348748691962202112
2,0,5547308841047558144
2,0,7925209444299704320
2,0,5835539217334011904
2,0,7636979068283258880
2,0,9582534107374422016
2,0,9366361333850572800
2,0,11600146753321306112
2,0,13978048456084555776
2,0,13618041960871626752
2,0,11384397283184216064
2,0,11024109862750390272
2,0,12825549988576495616
2,0,10735897353662629888
2,0,12537337342049781760
2,0,10447675911042893824
2,0,12249115830710568960
3,0,5259078464861896704
3,0,3313523425838104576
3,0,3529696207951890432
3,0,5619366435051804672
3,0,7276691097924671488
3,0,9078130948906424320
3,0,9294303733167691776
3,0,11672204340714280960
3,0,9870765589277710336
3,0,7636980191281813504
3,0,7853152973462706176
3,0,9654592824545122304
3,0,11311917496007399424
3,0,11095745263649429504
3,0,8717844935275714560
3,0,10807515163449366528
3,0,8429614697636698112
3,0,10519284925273479168
3,0,8141384390741334016
3,0,10231054618109679616
3,0,12176609691493472256
4,0,5259078464861896704
4,0,5619366435051798528
4,0,7853151850228088832
4,0,9942822077462216704
4,0,11600146757514428416
4,0,11383975074912272384
4,0,11023687654478446592
4,0,13401588532607975424
4,0,13041370931162513408
4,0,12825233333420818432
4,0,10735580698506952704
4,0,12537020686894104576
4,0,10159128879735504896
4,0,12248799141195153408
5,0,5259078464861896704
5,0,7060518315810357248
5,0,8717842978699476992
5,0,9078130949962858496
5,0,9294303734224125952
5,0,11383973965619003392
5,0,11600147297488601088
5,0,13978049000251850752
5,0,11888660248128651264
5,0,13690102298100105216
5,0,13329955065398820864
5,0,11096240018967232512
5,0,12753564956717481984
5,0,12537409766789742592
5,0,10735978711934566400
5,0,13113879452625141760
6,0,5259078464861896704
6,0,5619366435051798528
6,0,7276691097924665344
6,0,9654591701209841664
6,0,9870764491913560064
6,0,11960434736193339392
6,0,13617761598088937472
6,0,11384116920401526784
6,0,13329672509181394944
6,0,11095957462749806592
6,0,10735669767438073856
6,0,12537109755825225728
6,0,10447448324818337792
6,0,12248888244486012928
7,1,5259078464861896704
7,1,5042905682748375040
7,1,4682617712558866432
7,1,3025293049686589440
7,1,1223853198738392064
7,1,3313523425838302224
7,1,1512083574890105872
7,1,3889984178141727792
7,1,1800313951041825840
8,0,5259078464861896704
8,0,3313523425838104576
8,0,5547308841013872640
8,0,7636979068114307072
8,0,5835539217233217536
8,0,7925209444334176256
8,0,9582534107340736512
8,0,11960434719182292992
8,0,13905991957229602816
8,0,13690100650092529664
8,0,11312340784329263104
8,0,9366786295061022720
8,0,6988885696104368128
8,0,6772712914007361536
8,0,4971273063067551744
8,0,3025718024043628544
8,0,4683042686915972096
8,0,4466869904802253824
8,0,6124194567674629120
8,0,8213864794776636416
8,0,8430037577158855680
8,0,10231477428643924992
8,0,10447650245117447168
8,0,12249090164785122304
9,0,5259078464861896704
9,0,5042905682748375040
9,0,6988460721772560384
9,0,8789900572737536000
9,0,11023685988987043840
9,0,13113356490964860928
9,0,11311951824388751360
9,0,9654627711272222720
9,0,7564957492762247168
9,0,5619402453805301760
9,0,3817962602857627648
9,0,5907632829957545984
9,0,3529732226706972672
9,0,1295946811531210752
9,0,1512119593644994576
9,0,3313559444593193008
9,0,935658841341573168
9,0,3025329068441483320
9,0,647428465189862456
9,0,2737098692289772604
9,0,4394423355162115644
9,0,2160637939986382396
9,0,70967712886472380
9,0,431255683076112061
9,0,2376810722100166335
9,0,4754711325351788479
9,0,6700266364375908287
9,0,8501706215332495295
9,0,8141418245679726527
9,0,6195863206924107711
9,0,6412035989039988671
9,0,4178250573868416959
10,0,5259078464861896704
10,0,3313523425838104576
